Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SCS01G01Z90,2009.06,3374,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2010.06,-3940,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2011.06,-13165,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2012.06,-3956,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2013.06,-1066,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2014.06,910,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2015.06,3895,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2016.06,4520,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2017.06,6922,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2018.06,7746,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2019.06,8015,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2020.06,-15337,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2021.06,-2611,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2022.06,-8596,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z90,2023.06,-7065,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net operating balance,,,,
GFSA.SCS01G01Z91,2009.06,1341,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2010.06,-5740,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2011.06,-14085,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2012.06,-5160,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2013.06,-2298,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2014.06,-1136,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2015.06,1309,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2016.06,1725,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2017.06,4231,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2018.06,4092,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2019.06,4283,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2020.06,-18535,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2021.06,-7232,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2022.06,-13454,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G01Z91,2023.06,-11691,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Net Balances",Net lending/borrowing,,,,
GFSA.SCS01G02121,2009.06,2278,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2010.06,2523,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2011.06,2745,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2012.06,2782,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2013.06,2514,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2014.06,2618,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
GFSA.SCS01G02121,2015.06,2392,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Operating Statement, Operating Income",Social security contributions,,,,
